Category,Disease / Skin Type,Brand Name,Active Ingredient,Main Indication,Quantity,Stock Status
Neurology / Pain Management,Acute Gouty Arthritis,Catafast,Diclofenac Potassium Sachet,Soluble rapid action analgesic powder for prompt systemic absorption,9,In stock
Neurology / Pain Management,Bursitis & Tendinitis,Xefo,Lornoxicam,Oxicam class analgesic with high analgesic power for nerve compressions,35,In stock
Neurology / Pain Management,Musculoskeletal Sprains,Baclofen,Baclofen,GABA-B agonist acting on spinal cord to minimize rigidity,30,In stock
Neurology / Pain Management,Central Pain Syndrome,Paramax,Paracetamol / Metoclopramide,Simultaneous pain relief and prokinetic to stop migraine emesis,13,In stock
Neurology / Pain Management,Primary Dysmenorrhea,Relpax,Eletriptan Hydrobromide,Highly selective triptan providing fast relief from pulsating cranial pain,28,In stock
Neurology / Pain Management,Spasticity from Spinal Injury,Maxalt,Rizatriptan Benzoate,Rapid-disintegrating triptan formulation bypassing heavy nausea blocks,40,In stock
Neurology / Pain Management,Migraine-Associated Nausea,Gabamed,Gabapentin Monohydrate,Modulates neurological calcium channels to limit hyper-active peripheral nerve signals,23,In stock
Neurology / Pain Management,Occipital Neuralgia,Protelos,Strontium Ranelate,Stimulates bone matrix preservation pathways in severe chronic skeletal pain,39,In stock
Neurology / Pain Management,Radiculopathy Pain,Celebrex,Celecoxib,Targeted joint pain inhibitor preserving protective stomach mucosal fields,10,In stock
Neurology / Pain Management,Arthritic Joint Swelling,Xefo Rapid,Lornoxicam Rapid,Advanced oxicam derivative providing rapid targeted skeletal pain reduction,9,In stock
Neurology / Pain Management,Soft Tissue Injury Pain,Diclac,Diclofenac Sodium SR,High-dose delayed release NSAID tackling continuous morning joint rigidity,2,Low stock
Neurology / Pain Management,Nocturnal Leg Cramps,Prontogest Pain,Progesterone Derivative,Injectable hormone support managing extreme structural gynecological pain cycles,16,In stock
Neurology / Pain Management,Paroxysmal Pain Episodes,Fastum Gel,Ketoprofen Gel,Topical fast-absorbing NSAID gel bypassing systemic digestive tracts,0,Out of stock
Neurology / Pain Management,Mild Arthralgia,Mobitil,Tenoxicam,Potent non-steroidal anti-inflammatory targeting multi-joint arthritic swelling,5,Low stock
Dermatology (Skin Cleansers),Oily & Acne-Prone Skin,La Roche-Posay Effaclar Gel,Zinc Pidolate / Caprylyl Glycol,Purifying foaming gel cleanser that reduces excess sebum,49,In stock
Dermatology (Skin Cleansers),Acne-Prone / Clogged Pores,Bioderma Sebium Gel Moussant,Zinc Sulfate / Copper Sulfate,Gently cleanses and limits sebum secretion,37,In stock
Dermatology (Skin Cleansers),Dry to Very Dry Skin,CeraVe Hydrating Cleanser,Ceramides / Hyaluronic Acid,Cleanses and hydrates without disrupting the skin barrier,15,In stock
Dermatology (Skin Cleansers),Highly Sensitive Skin,Cetaphil Gentle Skin Cleanser,Glycerin / Vitamin B5,"Soap-free, non-irritating formula for sensitive skin",14,In stock
Dermatology (Skin Cleansers),Hyperpigmentation / Dull Skin,Bioderma Pigmentbio Foaming Cream,AHA / Exfoliating Beads,Brightening cleanser that helps reduce dark spots,16,In stock
Dermatology (Skin Cleansers),Combination Skin (T-Zone),Vichy Normaderm Phytosolution,Salicylic Acid / Copper / Zinc,Deep cleansing gel targeting blemishes and oily zones,24,In stock
Dermatology (Skin Cleansers),"Dry, Acne-Prone Skin",Avene Cleanance Hydra,Dextran Sulfate / Thermal Spring Water,Soothing cleansing cream for skin dried by acne treatments,23,In stock
Dermatology (Skin Cleansers),Acne-Prone Skin / Exfoliation,SVR Sebiaclear Gel Moussant,Gluconolactone / Salicylic Acid,Soap-free purifying and exfoliating gel for acne-prone skin,23,In stock
Dermatology (Skin Cleansers),Anti-Aging / Fine Lines,Eucerin DermatoClean,Hyaluronic Acid / APG Complex,Mild but effective cleansing complex that helps skin breathe,50,In stock
Dermatology (Skin Cleansers),Severe Oily Skin & Imperfections,Uriage Hyseac Cleansing Gel,Piroctone Olamine / Epilobium,Eliminates impurities and excess sebum while respecting epidermis,1,Low stock
Dermatology (Skin Cleansers),Acne-Prone / Inflamed Skin,La Roche-Posay Effaclar Micro-Peeling,Salicylic Acid / LHA,Intense deep cleanser clearing severe imperfections and sebum,48,In stock
Dermatology (Skin Cleansers),Open & Closed Blackheads,Cetaphil Oily Skin Cleanser,Glycerin / Panthenol Formula,Foaming wash removing 99% of excess oil without over-drying,48,In stock
Dermatology (Skin Cleansers),Atopic Dermatitis / Eczema-Prone,Bioderma Atoderm Intensive Gel Moussant,Zinc / Copper Sulfate / Vitamin PP,Soothes itching and restores natural lipid protective barrier,20,In stock
Dermatology (Skin Cleansers),Psoriasis-Prone / Flaky Skin,CeraVe SA Smoothing Cleanser,Salicylic Acid / Urea,Exfoliates rough skin textures gently while maintaining hydration,28,In stock
Dermatology (Skin Cleansers),Melasma & Dark Spots,IsisPharma Neotone Gel,Azelaic Acid / Glycolic Acid,Exfoliates melanin spots and unifies immediate facial tone,11,In stock
Dermatology (Skin Cleansers),Adult Blemish-Prone Skin,Eucerin ProAcne Solution Cleansing Gel,Amphoteric Surfactants,"Soap-free, fragrance-free daily wash for blemish-prone skin",0,Out of stock
Dermatology (Skin Cleansers),Rosacea / Redness-Prone,Avene Antirougeurs Clean,TRP-Regulin / Thermal Spring Water,Refreshing dermo-cleansing milk targeting redness and flushing,18,In stock
Dermatology (Skin Cleansers),Hormonal Cystic Acne,SVR Sebiaclear Cicapeel,Gluconolactone Complex,Active gel cleanser reducing bacterial growth and marks,43,In stock
Dermatology (Skin Cleansers),Dehydrated Oily Skin,Vichy Purete Thermale Fresh Gel,Amilite Technology / Moringa,Cleanses pollution particles and hard water residue effects,44,In stock
Dermatology (Skin Cleansers),Post-Procedure / Damaged Skin,Uriage Hyseac Clean-Up Cream,Piroctone Olamine / Cerasterol-2F,Cleanses gently while compensating for drying dermatological drugs,28,In stock
Dermatology (Skin Cleansers),"Sensitive, Redness-Prone Skin",La Roche-Posay Effaclar H Iso-Biome,Vitamin B5 / Aqua Posae Filiformis,Soothing wash restoring comfort to skin thinned by Isotretinoin,37,In stock
Dermatology (Skin Cleansers),Oily Skin / Uneven Texture,Bioderma Sebium Gel Gommant,Salicylic Acid / Gentle Micro-beads,Mechanical and chemical exfoliating wash deep cleaning facial pores,12,In stock
Dermatology (Skin Cleansers),Severely Dehydrated Skin,Lipikar Syndet AP+,Shea Butter / Niacinamide,Ultra-gentle cleansing cream base minimizing skin scratching impulses,3,Low stock
Dermatology (Skin Cleansers),Acne-Scarred Skin / Dullness,CeraVe Psoriasis Cleanser,Salicylic Acid / Ceramides Base,Exfoliates scaling skin plaques while protecting underlying lipids,23,In stock
Dermatology (Skin Cleansers),Sensitive Skin / Makeup Removal,Melascreen Cleansing Gel,Azelaic Acid Derivative,Inhibits tyrosinase pathways while washing away surface dead cells,15,In stock
Dermatology (Skin Cleansers),Flaky Skin / Severe Dryness,Normaderm Phytosolution Mattifying,Volcanic Perlite / Active Clay,Clay-to-foam deep cleanser absorbing oily shine long term,27,In stock
Dermatology (Skin Cleansers),Hyperpigmented Skin / Dark Patches,Bioderma Sensibio DS+ Gel,Rosactiv Patent / Piromycine,Sanitizing cleansing gel fighting redness causes and scaling flares,13,In stock
Dermatology (Skin Cleansers),Combination / Dull Skin,SVR Sebiaclear Active Gel,Niacinamide / Gluconolactone Active,Highly concentrated skin wash minimizing red papules and scars,17,In stock
Dermatology (Skin Cleansers),Acne-Prone / Sensitive Skin,Vichy Mineral Micellar Water,Mineralizing Water / Panthenol,Magnet-like micelle formula removing dirt without disturbing lipids,33,In stock
Dermatology (Skin Cleansers),Oily Skin / Enlarged Pores,Uriage Bariederm Cica-Gel,Copper-Zinc / TLR2-Regul,Purifying copper gel preventing bacterial growth on healing skin,40,In stock
Dermatology (Skin Cleansers),"Irritated, Broken Skin Barrier",Avene Extremely Gentle Cleanser,Avène Thermal Spring Water / Gentle Surfactant,No-rinse ultra-mild fluid formula protecting reactive epidermis,22,In stock
Dermatology (Skin Cleansers),Sun-Damaged Skin,Cetaphil Bright Healthy Radiance,Glycerin / Niacinamide B3,Gently cleanses while initializing skin color correction and radiance,47,In stock
Dermatology (Skin Cleansers),Atopic Skin in Infants & Adults,Laroche-Posay Lipikar AP+ Oil,Shea Butter / Cleansing Lipids,Replenishes skin lipids during showering to stop severe itching triggers,0,Out of stock
Dermatology (Skin Cleansers),"Oily, Sensitive Skin",Ducray Keracnyl Foaming Gel,Myrtacine / Sabal Serrulata,Targeted wash that breaks down tough blackheads and acne crusts,39,In stock
Dermatology (Skin Cleansers),Dry Skin with Redness,IsisPharma Teen Derm Gel,Salicylic Acid / Glycolic Acid,Deeply purifies pores using intensive keratolytic active combinations,29,In stock
Dermatology (Skin Cleansers),Hyperpigmentation Prevention,Neutrogena Hydro Boost Water Gel Cleanser,Hyaluronic Acid / Gentle Surfactants,Deeply hydrates while washing away daily environmental impurities,2,Low stock
Dermatology (Skin Cleansers),Acne-Prone with Blackheads,Eucerin Even Radiance Cleansing Foam,Vitamin C / Niacinamide / Brightening Complex,Luxurious foam delivering instant brightening actives to dull faces,29,In stock
Dermatology (Skin Cleansers),Dry and Itchy Skin,CeraVe Foaming Facial Cleanser,Ceramides / Niacinamide / Hyaluronic Acid,Foaming cleanser that completely balances mixed skin zones flawlessly,19,In stock
Dermatology (Skin Cleansers),Combination / Sensitive Skin,Bioderma Sensibio H2O Micellar,Micelles / Cucumber Extract,Classic dermatological micellar water preserving natural physiological pH,17,In stock
Dermatology (Skin Cleansers),Exfoliation for Dull Skin,Avene Cleanance Cleansing Gel,Monolaurin / Zinc Salicylate,Gently purifies oily skin surfaces while preventing heavy rebound sebum,20,In stock
Endocrinology,Type 2 Diabetes Mellitus,Glucophage,Metformin Hydrochloride,Improves insulin sensitivity and lowers blood glucose,39,In stock
Endocrinology,Type 2 Diabetes (Combination),Janumet,Sitagliptin / Metformin,Inhibits DPP-4 enzyme and limits hepatic glucose synthesis,33,In stock
Endocrinology,Hypothyroidism,Euthyrox,Levothyroxine Sodium,Synthetic thyroid hormone replacement therapy,14,In stock
Endocrinology,Hyperthyroidism,Carbimazole,Carbimazole,Antithyroid agent that reduces thyroid hormone production,12,In stock
Endocrinology,Postmenopausal Osteoporosis,Fosamax,Alendronate Sodium,Bisphosphonate to prevent and treat bone loss,33,In stock
Endocrinology,Hyperprolactinemia,Dostinex,Cabergoline,Dopamine agonist to reduce excess prolactin levels,39,In stock
Endocrinology,Severe Vitamin D Deficiency,Devarol-S,Cholecalciferol (Vitamin D3),High-dose vitamin D injection/oral drop for bone health,9,In stock
Endocrinology,Primary Hyperparathyroidism,Sensipar,Cinacalcet HCl,Increases calcium-sensing receptor sensitivity on parathyroid glands,18,In stock
Pulmonology,Acute Bronchial Asthma,Ventolin Evohaler,Salbutamol,Bronchodilator for quick relief of asthma symptoms,3,Low stock
Pulmonology,Asthma & COPD Maintenance,Seretide Diskus,Salmeterol / Fluticasone,Corticosteroid and bronchodilator long-term controller,0,Out of stock
Pulmonology,COPD Chronic Bronchospasm,Spiriva Respimat,Tiotropium Bromide,Long-acting anticholinergic bronchodilator,7,In stock
Pulmonology,Seasonal Allergic Rhinitis,Zyrtec,Cetirizine Hydrochloride,Second-generation antihistamine for allergy symptoms,28,In stock
Pulmonology,Productive Cough / Mucus,Mucosolvan,Ambroxol Hydrochloride,Thins and loosens mucus in respiratory tract,7,In stock
Pulmonology,Dry Irritating Cough,Codilar,Dextromethorphan Hydrobromide,Antitussive agent targeting the cough reflex,31,In stock
Pulmonology,Allergic Asthma Prophylaxis,Singulair,Montelukast Sodium,Leukotriene receptor antagonist for asthma control,12,In stock
Pulmonology,Perennial Allergic Rhinitis,Avamys Nasal Spray,Fluticasone Furoate,Glucocorticoid nasal spray directly mitigating local mucosal inflammation,16,In stock
Rheumatology,Severe Osteoarthritis,Mobic,Meloxicam,Oxicam class NSAID tailored for safe long term joints,8,In stock
Rheumatology,Acute Gout Attack,Colchicine,Colchicine,Reduces inflammation associated with uric acid crystals,38,In stock
Rheumatology,Chronic Hyperuricemia,Zyloric,Allapurinol,Xanthine oxidase inhibitor to lower blood uric acid levels,24,In stock
Rheumatology,Rheumatoid Arthritis DMARD,Methotrexate,Methotrexate Sodium,DMARD to suppress disease progression and joint damage,15,In stock
Rheumatology,Psoriatic Arthritis,Arava,Leflunomide,Pyrimidine synthesis inhibitor downregulating active auto-immune clones,31,In stock
Rheumatology,Systemic Lupus Erythematosus,Plaquenil,Hydroxychloroquine Sulfate,Antimalarial derivative utilized as base auto-immune modulator,2,Low stock
Rheumatology,Ankylosing Spondylitis Flare,Feburic,Febuxostat,Potent non-purine selective inhibitor of xanthine oxidase enzyme,48,In stock
Rheumatology,Chronic Juvenile Arthritis,Humira,Adalimumab,Monoclonal antibody blocking Tumor Necrosis Factor alpha directly,21,In stock
Infectious Disease,Broad Spectrum Bacterial Infection,Augmentin,Amoxicillin / Clavulanic Acid,Amoxicillin protected by clavulanic acid against resistance,38,In stock
Infectious Disease,Atypical Respiratory Infection,Zithromax,Azithromycin,"Macrolide antibiotic for brief, effective compliance",39,In stock
Infectious Disease,Complicated Urinary Tract Infection,Ciprofar,Ciprofloxacin,Fluoroquinolone antibiotic for moderate to severe UTIs,0,Out of stock
Infectious Disease,Anaerobic Infection,Flagyl,Metronidazole,Antiprotozoal and antibacterial agent,36,In stock
Infectious Disease,Systemic Fungal Infection,Flucoral,Fluconazole,Systemic antifungal treatment for yeast and fungal infections,40,In stock
Infectious Disease,Lower Respiratory Tract Infection,Tavanic,Levofloxacin,Advanced fluoroquinolone covering atypical pathogens and severe pneumonia,35,In stock
Infectious Disease,Skin & Soft Tissue Infection,Dalacin C,Clindamycin Hydrochloride,Lincosamide antibiotic targeting gram-positive anaerobic clusters,33,In stock
Infectious Disease,Intestinal Parasites,Secnidal,Secnidazole,Single dose antiprotozoal eradication therapy for tissue parasites,24,In stock
Ophthalmology,Bacterial Conjunctivitis,Tobrex,Tobramycin,Topical ophthalmic antibiotic drops,50,In stock
Ophthalmology,Ocular Allergy & Redness,Efemoline,Fluorometholone,Corticosteroid eye drops for ocular inflammation,33,In stock
Ophthalmology,Severe Dry Eye Syndrome,Tears Naturale II,Dextran / Hypromellose,Lubricating artificial tears for dry eye relief,1,Low stock
Ophthalmology,Open-Angle Glaucoma,Xalatan,Latanoprost,Prostaglandin analog to lower intraocular pressure,48,In stock
Urology,Benign Prostatic Hyperplasia (BPH),Tamsulin,Tamsulosin Hydrochloride,Alpha-1 blocker to improve urinary flow in BPH,13,In stock
Urology,Erectile Dysfunction,Viagra,Sildenafil Citrate,PDE5 inhibitor to improve erectile response,17,In stock
Urology,Overactive Bladder,Ur暢an,Solifenacin Succinate,Anticholinergic to reduce urinary frequency and urgency,30,In stock
Urology,BPH Gland Size Reduction,Avodart,Dutasteride,Blocks Type II 5-alpha reductase to decrease prostate size,32,In stock
